FOR_NFOR,TENEMENT_T,CADT_No,Built_up_area,Corn_field,Dipterocarp_forest__closed,Dipterocarp_forest__open,Fallow,Fishpond,Grassland,Mangrove_forest,Marsh,Open_barren_ground,Other_annual_crop,Palm,Perennial_fruit_crop,Plantation_forest__closed,Plantation_forest__open,Rice_paddy,Shrub_brush,Swamp_forest__closed,Swamp_forest__open,Water_body
Deforested in 1st half HRP,Coal,210,11.22676277,0,48.22106172,196.3310392,18.10977989,0,16.89860248,0,0,0,0,0.483149191,0.454882773,483.0234545,37.39638046,1.96E-02,401.2473178,0,0,0
Deforested in 2nd half HRP,Coal,210,5.46926328,0,15.86579129,69.70889094,37.09181292,0,17.6115235,0,0,0,0,5.18E-02,9.16E-02,90.06540523,16.45024611,0,509.4383691,0,0,0
Deforested in 1st half HRP,APSA,223,0,0,8.38E-03,0,0,0,0,0,0,0,0,0,0,1.299356023,9.20E-02,0,0.161242944,0,0,0
Deforested in 1st half HRP,Coal,223,5.084309196,2.80E-02,49.38129395,56.24961177,23.11253656,0,23.93470205,0.153466243,0,0,0,8.345042155,2.304056148,498.7393638,51.41827547,1.96E-02,221.8144883,8.10E-02,5.92E-02,0.32902856
Deforested in 1st half HRP,EXPA,223,4.115254759,1.166236586,14.89122008,0.655695421,28.85201982,0,8.377312119,9.87E-03,0,0,0,13.59387116,13.36389549,402.2547151,56.17345944,0.105778437,48.8048403,0,0,0.423322385
Deforested in 2nd half HRP,APSA,223,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46E-02,1.02E-02,0,6.14E-02,0,0,0
Deforested in 2nd half HRP,Coal,223,0.969899386,0,13.06402808,21.36175032,20.21141373,0,19.21543637,0,0,0,0,4.39E-02,1.018201199,48.98501179,19.01072221,0,152.5991559,0,0,0
Deforested in 2nd half HRP,EXPA,223,1.17148887,8.38E-02,3.412092718,0.185968574,8.938454054,0,2.016086293,0,0,0,0,2.141508256,3.240022503,114.2111591,16.56592112,0,23.09013628,0,0,0
Deforested in 1st half HRP,EP,237,0,0,1.377311406,1.072723611,0,0,0.263162583,0,0,0,0,0,0.430044901,2.276105447,0.749218178,0,6.233830279,0,0,0
Deforested in 1st half HRP,EXPA,237,0,0,0.533377657,0.453857363,0,0,0,0,0,0,0,0,0,0,0,0,1.659691917,0,0,0
